Name,Description,Stars,URL,Comment,Star_Category,Project_Category,Recommendation
MonoDevelop.UnityMode,A single MonoDevelop Addin that transforms a regular MonoDevelop into a version that is tightly integrated with Unity,19,https://github.com/Unity-Technologies/MonoDevelop.UnityMode,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
MonoDevelop.UnityMode-Build,build script and dependencies for building a unitymode-monodevelop,5,https://github.com/Unity-Technologies/MonoDevelop.UnityMode-Build,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
django-storages,Mirror from bitbucket + fixes,0,https://github.com/Unity-Technologies/django-storages,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
UnityOBBDownloader,"This is Unity plugin for Android, intended to download .obb expansion files from Google Play.",34,https://github.com/Unity-Technologies/UnityOBBDownloader,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
uncrustify,Code beautifier,44,https://github.com/Unity-Technologies/uncrustify,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
editorconfig-visualstudio,EditorConfig Visual Studio Addin,7,https://github.com/Unity-Technologies/editorconfig-visualstudio,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
curl,"Curl is a tool and libcurl is a library for transferring data with URL syntax, supporting FTP, FTPS, HTTP, HTTPS, GOPHER, TFTP, SCP, SFTP, TELNET, DICT, LDAP, LDAPS, FILE, IMAP, SMTP, POP3, RTSP and RTMP. libcurl offers a myriad of powerful features",21,https://github.com/Unity-Technologies/curl,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
temp-salt,Infrastructure automation and management system,8,https://github.com/Unity-Technologies/temp-salt,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
qstat,New official qstat repository,121,https://github.com/Unity-Technologies/qstat,Mid-level popularity - General Unity package,Orta Popüler,Genel Unity Paketi,Genel kullanıma uygun.
omnisharp-server,HTTP wrapper around NRefactory allowing C# editor plugins to be written in any language.,4,https://github.com/Unity-Technologies/omnisharp-server,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
winsvc,Windows service library written in go - Forked from http://code.google.com/p/winsvc/,0,https://github.com/Unity-Technologies/winsvc,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
mysql-connector-python,Fork of version 2.0.4 of mysql-connector-python (and probably rebased at points) until upstream issues are fixed.,7,https://github.com/Unity-Technologies/mysql-connector-python,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
puppetlabs-postgresql,Puppet module for managing PostgreSQL,0,https://github.com/Unity-Technologies/puppetlabs-postgresql,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
golang-sys,Go packages for low-level interaction with the operating system,1,https://github.com/Unity-Technologies/golang-sys,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
go-ole,win32 ole implementation for golang,0,https://github.com/Unity-Technologies/go-ole,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
wmi,WMI for Go,1,https://github.com/Unity-Technologies/wmi,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
puppet-redis,No description,0,https://github.com/Unity-Technologies/puppet-redis,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
puppetlabs-mcollective,MCollective Server and Client Puppet Module,0,https://github.com/Unity-Technologies/puppetlabs-mcollective,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
xmlrpc,Implementation of XMLRPC protocol in Go language.,0,https://github.com/Unity-Technologies/xmlrpc,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
puppetlabs-rabbitmq,RabbitMQ Puppet Module,0,https://github.com/Unity-Technologies/puppetlabs-rabbitmq,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
puppetdb,Centralized Puppet Storage,0,https://github.com/Unity-Technologies/puppetdb,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
puppetlabs-puppetdb,A puppet module for installing and managing puppetdb,0,https://github.com/Unity-Technologies/puppetlabs-puppetdb,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
testify,A sacred extension to the standard go testing package,0,https://github.com/Unity-Technologies/testify,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
garethr-docker,Puppet module for managing docker,0,https://github.com/Unity-Technologies/garethr-docker,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
veewee,Easing the building of vagrant boxes,0,https://github.com/Unity-Technologies/veewee,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
puppet-module-puppetboard,Puppet module to install and manage puppetboard,0,https://github.com/Unity-Technologies/puppet-module-puppetboard,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
com.unity.formats.alembic,Alembic importer and exporter plugin for Unity,797,https://github.com/Unity-Technologies/com.unity.formats.alembic,Popular - General Unity package,Popüler,Genel Unity Paketi,Genel kullanıma uygun.
gometalinter,Concurrently run Go lint tools and normalise their output,0,https://github.com/Unity-Technologies/gometalinter,Low popularity - Vehicle package,Düşük Popülerlik,Araç Paketi,Yeni başlayanlar için önerilir.
MonoDevelop.Boo.UnityScript.Addins,"new, simple, c# monodevelop language addins for unityscript and boo",3,https://github.com/Unity-Technologies/MonoDevelop.Boo.UnityScript.Addins,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
monodevelop-build,Build scripts for MonoDevelop,6,https://github.com/Unity-Technologies/monodevelop-build,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
hubot-pager-me,PagerDuty integration for Hubot,0,https://github.com/Unity-Technologies/hubot-pager-me,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
AssetGraph,Visual Workflow Automation Tool for Unity.,1134,https://github.com/Unity-Technologies/AssetGraph,Very popular - General Unity package,Çok Popüler,Genel Unity Paketi,AAA oyunlar için önerilir.
puppetlabs-registry,Puppet Module for managing the Windows Registry through custom types and providers,0,https://github.com/Unity-Technologies/puppetlabs-registry,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
zabbix-community-docker,Dockerfiles for base community Docker Zabbix images,0,https://github.com/Unity-Technologies/zabbix-community-docker,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
nunitv2,NUnit 2.x repository. NUnit V2 IS NO LONGER MAINTAINED OR UPDATED.  Bugs should be reported in the main NUnit 3.0 repository.,0,https://github.com/Unity-Technologies/nunitv2,Low popularity - Artificial intelligence package,Düşük Popülerlik,Yapay Zeka Paketi,Gelişmiş oyun yapay zekası geliştirenler için önerilir.
docker-lloyd,Shipment insurance for docker containers,0,https://github.com/Unity-Technologies/docker-lloyd,Low popularity - Artificial intelligence package,Düşük Popülerlik,Yapay Zeka Paketi,Gelişmiş oyun yapay zekası geliştirenler için önerilir.
docker-insurance,Docker backup solution for Docker data volumes,0,https://github.com/Unity-Technologies/docker-insurance,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
websocket,A WebSocket implementation for Go.,1,https://github.com/Unity-Technologies/websocket,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
nginx-range-cache,Allow range requests to be used to cache large remote files in nginx,0,https://github.com/Unity-Technologies/nginx-range-cache,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
vscode-unity-debug,Unity debugging support for VS Code,461,https://github.com/Unity-Technologies/vscode-unity-debug,Mid-level popularity - General Unity package,Orta Popüler,Genel Unity Paketi,Genel kullanıma uygun.
vscode-mono-debug,A simple VS Code debug adapter for mono,9,https://github.com/Unity-Technologies/vscode-mono-debug,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
django-courriers,A generic application to manage your newsletters,0,https://github.com/Unity-Technologies/django-courriers,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
mfsbsd,mfsBSD,0,https://github.com/Unity-Technologies/mfsbsd,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
python-mailchimp,Python client for v3 of MailChimp API,0,https://github.com/Unity-Technologies/python-mailchimp,Low popularity - Artificial intelligence package,Düşük Popülerlik,Yapay Zeka Paketi,Gelişmiş oyun yapay zekası geliştirenler için önerilir.
mono-addins,"Mono.Addins is a generic framework for creating extensible applications, and for creating add-ins which extend those applications.",2,https://github.com/Unity-Technologies/mono-addins,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
giles,GILES: A Runtime Level Editor for Unity3D,770,https://github.com/Unity-Technologies/giles,Popular - General Unity package,Popüler,Genel Unity Paketi,Genel kullanıma uygun.
zabbix-docker-monitoring,":whale: Monitoring of Docker containers - Docker image, template, C module",0,https://github.com/Unity-Technologies/zabbix-docker-monitoring,Low popularity - Artificial intelligence package,Düşük Popülerlik,Yapay Zeka Paketi,Gelişmiş oyun yapay zekası geliştirenler için önerilir.
infinity_tile_shader,Shader snippets for Artomatix Infinity Tiles (Wang Tiles),54,https://github.com/Unity-Technologies/infinity_tile_shader,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
redigo,Go client for Redis,1,https://github.com/Unity-Technologies/redigo,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
emscripten,Emscripten: An LLVM-to-JavaScript Compiler,4,https://github.com/Unity-Technologies/emscripten,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
emscripten-fastcomp,emscripten llvm,3,https://github.com/Unity-Technologies/emscripten-fastcomp,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
emscripten-fastcomp-clang,emscripten clang,2,https://github.com/Unity-Technologies/emscripten-fastcomp-clang,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
NSubstitute,A friendly substitute for .NET mocking frameworks.,14,https://github.com/Unity-Technologies/NSubstitute,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
unity-ads-android,Unity Ads SDK for Android,226,https://github.com/Unity-Technologies/unity-ads-android,Mid-level popularity - General Unity package,Orta Popüler,Genel Unity Paketi,Genel kullanıma uygun.
unity-ads-ios,Unity Ads SDK for iOS,141,https://github.com/Unity-Technologies/unity-ads-ios,Mid-level popularity - General Unity package,Orta Popüler,Genel Unity Paketi,Genel kullanıma uygun.
binaryen,"Compiler infrastructure and toolchain library for WebAssembly, in C++",3,https://github.com/Unity-Technologies/binaryen,Low popularity - Artificial intelligence package,Düşük Popülerlik,Yapay Zeka Paketi,Gelişmiş oyun yapay zekası geliştirenler için önerilir.
ShaderGraph,Unity ShaderGraph project,1195,https://github.com/Unity-Technologies/ShaderGraph,Very popular - General Unity package,Çok Popüler,Genel Unity Paketi,AAA oyunlar için önerilir.
celerybeatredis,celery scheduler use redis,0,https://github.com/Unity-Technologies/celerybeatredis,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
requests-aws4auth,Amazon Web Services version 4 authentication for the Python Requests module,0,https://github.com/Unity-Technologies/requests-aws4auth,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
puppet-kapacitor,A Puppet module for installing and configuring Kapacitor - https://influxdata.com/time-series-platform/kapacitor ,0,https://github.com/Unity-Technologies/puppet-kapacitor,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
celery,Distributed Task Queue (development branch),0,https://github.com/Unity-Technologies/celery,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
unity-ads-cocos2dx,No description,15,https://github.com/Unity-Technologies/unity-ads-cocos2dx,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
UnityPlayground,"A collection of simple scripts to create 2D physics game, intended for giving workshops to a young audience",880,https://github.com/Unity-Technologies/UnityPlayground,Popular - Physics package,Popüler,Fizik Paketi,Genel kullanıma uygun.
build-qt,No description,1,https://github.com/Unity-Technologies/build-qt,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
NRefactory,NRefactory - Refactoring Your C# Code,4,https://github.com/Unity-Technologies/NRefactory,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
golja-influxdb,Puppet module for InfluxDB,0,https://github.com/Unity-Technologies/golja-influxdb,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
vividcortex-puppet,Puppet example for the installation of the VividCortex repository,0,https://github.com/Unity-Technologies/vividcortex-puppet,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
user_data_app,User data App,1,https://github.com/Unity-Technologies/user_data_app,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
timetracking_app,Zendesk official time-tracking app,4,https://github.com/Unity-Technologies/timetracking_app,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
infping,"Parse fping output, store result in influxdb 0.9",0,https://github.com/Unity-Technologies/infping,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
nunitv3,NUnit 3.0 Framework,4,https://github.com/Unity-Technologies/nunitv3,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
ArtomatixImageLoader,No description,1,https://github.com/Unity-Technologies/ArtomatixImageLoader,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
dhcpd-formula,No description,0,https://github.com/Unity-Technologies/dhcpd-formula,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
unity-ads-engineintegration-test,No description,2,https://github.com/Unity-Technologies/unity-ads-engineintegration-test,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
Fody,Extensible tool for weaving .net assemblies,4,https://github.com/Unity-Technologies/Fody,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
NavMeshComponents,High Level API Components for Runtime NavMesh Building,3026,https://github.com/Unity-Technologies/NavMeshComponents,Very popular - General Unity package,Çok Popüler,Genel Unity Paketi,AAA oyunlar için önerilir.
katana-dev-environment,Vagrant environment for Katana development.,1,https://github.com/Unity-Technologies/katana-dev-environment,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
PostProcessing,Post Processing Stack,3709,https://github.com/Unity-Technologies/PostProcessing,Very popular - General Unity package,Çok Popüler,Genel Unity Paketi,AAA oyunlar için önerilir.
ExCSS,A CSS Parser for .NET.  It's BADA55!,25,https://github.com/Unity-Technologies/ExCSS,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
ScriptableRenderLoopScenes,Test scenes to use with Unity scriptable render loops,11,https://github.com/Unity-Technologies/ScriptableRenderLoopScenes,Low popularity - Render or graphics package,Düşük Popülerlik,Render/Grafik Paketi,Genel kullanıma uygun.
css-layout,A subset of CSS (specifically flex-box) re-implemented as a stand alone project for use primarily on mobile. Used by react-native,20,https://github.com/Unity-Technologies/css-layout,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
elastalert,Easy & Flexible Alerting With ElasticSearch,0,https://github.com/Unity-Technologies/elastalert,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
go-slack,Go library for the Slack API.,32,https://github.com/Unity-Technologies/go-slack,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
smokeping-formula,http://docs.saltstack.com/en/latest/topics/development/conventions/formulas.html,0,https://github.com/Unity-Technologies/smokeping-formula,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
logrus,"Structured, pluggable logging for Go.",0,https://github.com/Unity-Technologies/logrus,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
VolumetricLighting,"Lighting effects implemented for the Adam demo: volumetric fog, area lights and tube lights",1728,https://github.com/Unity-Technologies/VolumetricLighting,Very popular - General Unity package,Çok Popüler,Genel Unity Paketi,AAA oyunlar için önerilir.
HLSLcc,DirectX shader bytecode cross compiler,854,https://github.com/Unity-Technologies/HLSLcc,Popular - General Unity package,Popüler,Genel Unity Paketi,Genel kullanıma uygun.
puppet-rsyslog,Manage rsyslog through puppet,0,https://github.com/Unity-Technologies/puppet-rsyslog,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
AssetBundles-Browser,Editor tool for viewing and debugging asset bundle contents before and after builds,2230,https://github.com/Unity-Technologies/AssetBundles-Browser,Very popular - General Unity package,Çok Popüler,Genel Unity Paketi,AAA oyunlar için önerilir.
rabbitmq-formula,No description,0,https://github.com/Unity-Technologies/rabbitmq-formula,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
redis-formula,Redis state,0,https://github.com/Unity-Technologies/redis-formula,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
Tanto,Unity new code review and collaboration tool,19,https://github.com/Unity-Technologies/Tanto,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
sensu-formula,Salt Stack formula to manage Sensu.,0,https://github.com/Unity-Technologies/sensu-formula,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
corert,"This repo contains CoreRT, a .NET Core runtime optimized for AOT (ahead of time compilation) scenarios, with the accompanying .NET Native compiler toolchain.",2,https://github.com/Unity-Technologies/corert,Low popularity - Artificial intelligence package,Düşük Popülerlik,Yapay Zeka Paketi,Gelişmiş oyun yapay zekası geliştirenler için önerilir.
grafana-formula,No description,2,https://github.com/Unity-Technologies/grafana-formula,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
BenchmarkDotNet,Powerful .NET library for benchmarking,10,https://github.com/Unity-Technologies/BenchmarkDotNet,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
brotli,Brotli compression format,7,https://github.com/Unity-Technologies/brotli,Low popularity - General Unity package,Düşük Popülerlik,Genel Unity Paketi,Genel kullanıma uygun.
